grid,cell_key,count,flat_rms,phox_rms,improvement,flat_norm_r95,phox_norm_r95,flat_norm_diag,phox_norm_diag,color_std,opacity_std,scale_std,center_x,center_y,center_z,eig0,eig1,eig2,tier,context_class_v22,predicted_native_render_bps,predicted_native_exact_bps,predicted_exact_correction_bps,predicted_native_exact_bytes,vq_fallback_bytes_for_region,predicted_region_savings_bytes
32,423,77,0.013634877227005545,0.013487269205236997,0.010825768308070404,0.09492934665961555,0.09390166354704206,0.04162681376343205,0.04117617152222594,0.11005841940641403,0.28155717253685,0.9572390913963318,-1.7920284627319931,0.0024503219501166786,-3.917185805060647,0.005326638481168568,0.0018573059693811791,0.00018590987699551554,native_exact_phoxoid,appearance_exact_candidate,8.743404,12.388334,3.394931,954,1928,974
32,428,49,0.013963296662934745,0.012014735073340044,0.139548821215488,0.10218535912997287,0.08792551271790384,0.043036486608431936,0.03703079563296912,0.03866390511393547,0.2880423963069916,1.017250418663025,-0.7106032043087239,0.007939604937802163,-3.873933952681872,0.004629512446519994,0.004014035854465997,0.00019497365369712424,native_exact_phoxoid,appearance_exact_candidate,7.394007,10.784720,3.140713,529,1227,699
32,432,59,0.01464295749747486,0.014256467380966907,0.026394266088295454,0.09287500930283749,0.09042364159434547,0.04501010082334714,0.04382209224555471,0.05189928412437439,0.2887973487377167,0.9743139147758484,0.1924245311420853,-0.0005378934362189453,-3.8927274437273964,0.006658927348389465,0.0023889890983149918,0.00021441620427285426,native_exact_phoxoid,appearance_exact_candidate,8.475799,11.980886,3.255087,707,1478,771
32,433,75,0.015945013116530824,0.01534197419522194,0.03781990750974606,0.10593039769094618,0.10192411984780399,0.04851434199229799,0.04667953406525309,0.10119092464447021,0.2886114716529846,0.9188480377197266,0.3507264908154806,0.0021141142782289536,-3.9358284091949463,0.004838115365624653,0.003047345688669842,0.0002542434432863401,native_exact_phoxoid,appearance_exact_candidate,8.686128,12.367419,3.431291,928,1878,951
32,435,56,0.012101320991434164,0.011778240948058528,0.026697915343649365,0.08033750180923548,0.07819265798701222,0.03691214277548503,0.03592666551251244,0.03294442966580391,0.27806252241134644,0.971084475517273,0.81403201179845,0.005025743640414605,-3.8648533310209,0.004332928116883832,0.004074948174067526,0.00014644196973772534,native_exact_phoxoid,curved_exact_candidate,7.728316,10.908560,2.930243,611,1403,792
32,436,54,0.015469099047140932,0.01442304930310942,0.06762189193072932,0.10920039097025586,0.10181605393327182,0.047082461819822646,0.04389865667480991,0.03444989398121834,0.2610774338245392,1.0921874046325684,0.993642305886304,0.006449101913824928,-3.882295158174303,0.0072389160939581865,0.003003313868841171,0.00023929302533025798,native_exact_phoxoid,appearance_exact_candidate,8.106952,11.559460,3.202508,625,1352,728
32,1446,51,0.015251622449325255,0.013645608735663822,0.10530117166206701,0.11287446113119333,0.10098864812335423,0.04659457791403283,0.041688114266585696,0.06832080334424973,0.2959112823009491,1.0005159378051758,-1.9503178292629766,0.01182841725608787,-3.652906146703982,0.007051454035495026,0.0024059973538604687,0.00023261198733676207,native_exact_phoxoid,appearance_exact_candidate,7.928306,11.470700,3.292395,586,1277,692
32,1447,51,0.013139979760151596,0.011949236151370994,0.09061989672097212,0.08415371415414394,0.07652771326880921,0.04047035183568375,0.036802932732072684,0.0883488580584526,0.2505466639995575,0.9375743865966797,-1.7649114599414901,0.01088781441349591,-3.6087323824564614,0.007624894557012091,0.0033442675781630384,0.00017265906809719428,native_exact_phoxoid,curved_exact_candidate,7.506912,10.831738,3.074825,553,1277,725
32,1450,73,0.015354874723485658,0.014759102379909501,0.03880020868323389,0.10108435267016667,0.09716225869195459,0.04667815455044594,0.04486703241294039,0.07855413109064102,0.30115941166877747,0.9838684797286987,-1.0889294082171297,0.005345939668947959,-3.6007263235849876,0.005917789130229827,0.003136890951543203,0.0002357721777739396,native_exact_phoxoid,appearance_exact_candidate,8.557431,12.170919,3.363488,889,1828,940
32,1451,82,0.014238621571721427,0.011880749135226118,0.16559695927154597,0.10177978408787802,0.08492536132761094,0.0438806686501043,0.036614163350844775,0.08245383203029633,0.3142009675502777,1.0524331331253052,-0.9171404845830871,0.0018581613705198213,-3.633872959671951,0.006354584121882987,0.0025076319422236756,0.00020273834426269216,native_exact_phoxoid,curved_exact_candidate,7.078413,10.458784,3.130371,858,2054,1196
