grid,cell_key,count,flat_rms,phox_rms,improvement,flat_norm_r95,phox_norm_r95,flat_norm_diag,phox_norm_diag,color_std,opacity_std,scale_std,center_x,center_y,center_z,eig0,eig1,eig2,hash_context,context_class,context_prior_bps_delta,predicted_raw_bps,entropy_factor,predicted_entropy_bps,precision_tier,estimated_payload_bytes,estimated_entropy_payload_bytes,estimated_exact_correction_bytes
32,4521,294,0.009664706095164172,0.009518273535949194,0.015151268726965969,0.06441226932363887,0.06343634172180272,0.029079259510328616,0.028638671835106447,0.042222119867801666,0.21210633218288422,1.245930552482605,-1.331486466790543,0.01952654568881959,-2.835453859802817,0.004009898023135365,0.003121864525978364,9.340654390590331e-05,98,mixed_surface,0.0,10.993896881871597,0.94,10.3342630689593,n12_c12_o8_s8,3316,3122,1172
32,4524,1448,0.007854196089526802,0.007740629575388028,0.0144593428588076,0.05705826673246215,0.05623324169084819,0.023604489934069092,0.023263184521105117,0.046826157718896866,0.30470389127731323,1.2589139938354492,-0.6978928816194335,0.011526974433763826,-2.917763619994124,0.006663409368571432,0.003743042182901196,5.160768599094553e-05,98,mixed_surface,0.0,10.530140118892968,0.94,9.89833171175939,n12_c12_o8_s8,15332,14417,5746
32,4527,687,0.008933344956739593,0.008751363537165812,0.020371027924594918,0.06534895022317463,0.06401772493333538,0.02684572051558422,0.026298845593305385,0.03614368289709091,0.2610061466693878,1.3022440671920776,-0.07652084589972219,0.009887138815647253,-2.9028081142654023,0.004872643347967933,0.0036076001254740373,6.394440918216085e-05,99,mixed_surface,0.0,10.956407854669155,0.94,10.299023383389006,n12_c12_o8_s8,7611,7159,2737
32,4528,590,0.006648431571101823,0.006445401601564047,0.03053802500130546,0.04665657803262333,0.04523177828618772,0.020070657010206872,0.01945773878463655,0.04200294241309166,0.1975269913673401,1.3128751516342163,0.1407428246748168,0.00861537208774621,-2.909372945005695,0.005445555145825037,0.0032424804627784708,4.316262369234104e-05,100,curved_surface,0.0,9.592566429612404,0.86,8.249607129466668,n12_c8_o8_s8,5744,4951,2322
32,4529,571,0.007186386061763553,0.007068060235198131,0.016465275529100154,0.050076352577994664,0.049251831635305617,0.021615686132217746,0.02125977790430023,0.03521574288606644,0.2649223506450653,1.3497462272644043,0.370026156383877,0.010166223765092278,-2.9212632762889066,0.00448892330573736,0.003929240393142703,4.54215590108747e-05,100,mixed_surface,0.0,10.107497632321646,0.94,9.501047774382346,n12_c12_o8_s8,5855,5509,2258
32,4530,803,0.00612253614352876,0.006041389407844559,0.013253778137344156,0.04358965421062073,0.04301192660462961,0.018525545066338064,0.01828001160215545,0.04873543605208397,0.2772103250026703,1.315108299255371,0.5715444019685189,0.009513849036006642,-2.9122151751071215,0.005105570467181327,0.003012969880192086,5.2448751210432906e-05,100,mixed_surface,0.0,9.767460057300903,0.94,9.18141245386285,n12_c8_o8_s8,7927,7457,3165
32,4532,760,0.008910886927827811,0.008472631468893503,0.04918202447005352,0.05959028216618049,0.056659511450506,0.02677723786040025,0.025460279092709603,0.058657195419073105,0.26872214674949646,1.237470269203186,1.0028121387585998,0.006115652180630112,-2.916932345678409,0.005818307935273347,0.0039641663550428925,7.93271324033449e-05,101,mixed_surface,-0.1672176960970062,10.190942275015193,0.94,9.57948573851428,n12_c12_o8_s8,7829,7364,3007
32,4533,656,0.009157639752854965,0.009011459814733537,0.015962621599725498,0.06402570088511682,0.0630036828492305,0.027429226078739884,0.026991383722071636,0.055720895528793335,0.24123424291610718,1.2959091663360596,1.2218555429329474,0.0107745653025025,-2.897052579869827,0.0054969289136511165,0.0035531485197759388,7.90315853614171e-05,101,mixed_surface,-0.1672176960970062,10.815927120703167,0.94,10.166971493460975,n12_c12_o8_s8,7179,6754,2610
32,5545,545,0.005571180047263102,0.005513376891127701,0.010375388274122889,0.04123658708320221,0.040808741481114304,0.016816320854016367,0.01664184499581372,0.046960435807704926,0.2315206676721573,1.2308814525604248,-1.3512814609954755,0.018224164332726406,-2.6518559399992228,0.0050063456312143,0.0034476299567908876,3.559140707344431e-05,98,mixed_surface,0.0,9.48529607130231,0.94,8.91617830702417,n12_c8_o8_s8,5253,4943,2143
32,5548,457,0.008461146913663245,0.008276203771845162,0.02185792821058727,0.059435387454617294,0.058136253022465834,0.025327714406368097,0.024774103043135445,0.02809041552245617,0.2761607766151428,1.2700121402740479,-0.6921998858451843,0.015729933116782984,-2.653825265044967,0.006215410364126955,0.0037478537644000352,7.304722586403293e-05,98,mixed_surface,0.0,10.581550003942034,0.94,9.946657003705512,n12_c12_o8_s8,4920,4630,1814
